id,name,category,cp,sp
1,Almond Flour Bread Mix,Food - Baking,489,590
2,Paprika,Food - Spices,179,215
3,Almond Butter Crunch Bar,Food - Snacks,199,240
4,Handheld Vacuum,Home Appliances,7999,9600
5,Electric Fondue Pot,Kitchen,3999,4800
6,Wall Decals for Kids,Home,2499,3000
7,Kids' Art Easel,Toys,5899,7080
8,Patterned Knit Scarf,Clothing - Accessories,2599,3120
9,Personalized Cutting Board,Kitchen,3499,4200
10,Organic Black Rice,Food - Grains,359,435
11,Sweet Pea Hummus,Food - Dips,429,515
12,Rechargeable Battery Organizer,Home,1799,2160
13,Wireless Earbuds Case,Accessories,1299,1560
14,Bamboo Cotton Tank Top,Clothing - Tops,2299,2760
15,Solar Power Bank,Electronics,3999,4800
16,Pet Grooming Brush,Pets,1999,2400
17,Sweet Chili Thai Sauce,Food - Condiments,349,420
18,Wireless Mouse,Electronics,2599,3120
19,Coconut Chia Pudding,Food - Dairy,349,420
20,Crispy Tofu Bites,Food - Protein,499,600
21,Gardening Gloves with Claws,Garden,2499,3000
22,Graphic Sweatshirt,Clothing - Tops,3499,4200
23,Vegetable Sushi Rolls,Food - Prepared Meals,599,720
24,Organic Apples,Food - Produce,189,230
25,Mediterranean Flatbread,Food - Bakery,35,45
26,Chickpea Snack Mix,Food - Snacks,349,420
27,Pet Water Bottle,Pets,1899,2280
28,Pocket Blanket,Outdoor,2499,3000
29,Microwave Popcorn Maker,Kitchen,1999,2400
30,Sea Salt Caramel Brownie,Food - Bakery,249,300
31,Dog Frisbee Toy,Pets,1099,1320
32,Pet Hair Remover,Pets,999,1200
33,Mini Projector,Electronics,16999,20400
34,Reusable Coffee Filter,Kitchen,1099,1320
35,LED Christmas Tree Lights,Home,3499,4200
36,Pumpkin Pie Spice,Food - Baking,299,360
37,Plant-Based Cookbook,Books,2999,3600
38,Caramel Apple Chips,Food - Snacks,349,420
39,Chocolate Hazelnut Spread,Food - Spreads,599,720
40,Garam Masala Spice Blend,Food - Spices,279,335
41,Rolling Cooler,Outdoor,5999,7200
42,Mayonnaise,Food - Condiments,329,395
43,Bamboo Bathtub Caddy,Home,3499,4200
44,Cinnamon Roll Kit,Food - Baking,689,830
45,French Bread,Food - Bakery,249,300
46,Classic Minestrone Soup,Food - Soups,299,360
47,Weighted Jump Rope,Fitness,1599,1920
48,Fitness Smartwatch,Wearable Tech,9999,12000
49,Fridge Magnet Set,Home,1599,1920
50,Crafting Kit,Art Supplies,2999,3600
51,Hot Salsa,Food - Dips,229,275
52,Digital Food Scale,Kitchen,2299,2760
53,Compact Refrigerator,Home Appliances,19999,24000
54,Chicken Sausage,Food - Meat,699,840
55,Picnic Blanket,Outdoor,2999,3600
56,Raisin Cinnamon Granola,Food - Cereals,379,455
57,Dog Car Seat Cover,Pets,3999,4800
58,Dog Collar,Pets,1599,1920
59,Roasted Chickpeas,Food - Snacks,299,360
60,Coconut Yogurt,Food - Dairy Alternatives,389,470
61,Steak Seasoning Rub,Food - Spices,249,300
62,Honey,Food - Condiments,549,660
63,Pet Water Fountain,Pets,3999,4800
64,Mango Chunks,Food - Frozen Fruits,489,590
65,Herb Seasoned Rice,Food - Sides,299,360
66,First Aid Kit,Health,2999,3600
67,Ricotta Cheese,Food - Dairy,499,600
68,Training Soccer Ball,Sports,1999,2400
69,Chocolate Mint Cookies,Food - Baking,229,275
70,Electric Heating Pad,Health,2099,2520
